,storeNumber,city,totalSalesDollars,avgSalesDollars,countyNumber,avgPrice(L),zipCode,totalVolSold(L),avgVolSold(L),avgMargin,totalSalesQ1,avgSalesQ1
1064,4870,BETTENDORF,727.15,48.4766666667,82.0,16.5282857143,52722,62.52,4.168,3.182,727.15,48.4766666667
1065,4872,EARLHAM,2854.65,89.2078125,61.0,16.3549404762,50072,272.97,8.5303125,3.923125,1131.87,113.187
1066,4873,GRANGER,3770.35,83.7855555556,25.0,15.1846984127,50109,326.36,7.25244444444,3.43244444444,1372.96,91.5306666667
1067,4874,MOUNT PLEASANT,7252.7,26.3734545455,44.0,18.9960632035,52641,525.9,1.91236363636,3.74,1654.54,24.6946268657
1068,4876,HIAWATHA,16571.42,144.099304348,57.0,15.611931677,52233,1034.95,8.99956521739,2.91530434783,6892.62,222.342580645
1069,4877,CLIVE,27126.19,148.230546448,77.0,23.2085662243,50325,1429.3,7.81038251366,5.52639344262,7322.59,159.18673913
1070,4878,PRIMGHAR,8596.51,95.5167777778,71.0,17.2607936508,51245,580.85,6.45388888889,5.95566666667,1207.16,63.5347368421
1071,4879,SIOUX CITY,28214.6,127.092792793,97.0,18.3383462033,51106,2029.03,9.13977477477,4.20355855856,5199.24,110.62212766
1072,4880,ANITA,1202.34,109.303636364,15.0,15.28995671,50020,116.1,10.5545454545,3.38636363636,171.6,85.8
1073,4881,COON RAPIDS,6899.61,81.1718823529,14.0,16.040022409,50058,556.95,6.55235294118,4.91305882353,2194.13,78.3617857143
1074,4882,ST CHARLES,2397.16,114.15047619,61.0,13.1393197279,50240,217.8,10.3714285714,3.74523809524,1168.32,116.832
1075,4883,SIGOURNEY,3577.9,40.2011235955,54.0,14.7390904227,52591,319.49,3.5897752809,4.24764044944,571.81,38.1206666667
1076,4884,SIOUX CITY,3927.86,115.525294118,97.0,17.9396498599,51106,319.25,9.38970588235,3.50411764706,547.08,136.77
1077,4885,ZWINGLE,4598.41,114.96025,49.0,17.2998809524,52079,372.74,9.3185,3.71325,1263.88,105.323333333
1078,4887,WEST DES MOINES,3571.51,127.553928571,77.0,16.3612585034,50266,232.9,8.31785714286,4.10035714286,903.55,150.591666667
1079,4888,SERGEANT BLUFF,10512.23,74.554822695,97.0,20.5713272543,51054,582.27,4.12957446809,4.39680851064,2029.41,106.811052632
1080,4889,DES MOINES,1479.26,29.0050980392,77.0,18.1576470588,50315,125.52,2.46117647059,3.48549019608,1299.31,28.2458695652
