,storeNumber,city,totalSales15,averageSale15,countyNumber,averagePrice(L),zipCode,totalVolSold(L)15,averageVolSold(L)15,averageMargin15,predictor,Q1AverageSales15,TotalSales16toDate,AverageSale16toDate,Q1TotalSales16,Q1AverageSale16
1154,4982.0,ALTA,1731.36,133.181538462,11.0,12.5223443223,51002,143.25,11.0192307692,3.94,490.98,122.745,188.4,188.4,188.4,188.4
1156,4984.0,MUSCATINE,7833.09,38.5866502463,70.0,20.8652451325,52761,519.62,2.5597044335,4.14832512315,2149.08,49.9786046512,1907.1,39.73125,1907.1,39.73125
1158,4986.0,FLOYD,15528.97,149.317019231,34.0,16.6791254579,50435,1043.62,10.0348076923,5.10692307692,5967.09,192.486774194,5891.12,210.397142857,5891.12,210.397142857
1159,4987.0,AMES,3417.01,31.9346728972,85.0,16.9942189586,50010,252.49,2.35971962617,4.20093457944,1298.68,37.1051428571,318.09,26.5075,318.09,26.5075
1160,4988.0,CEDAR FALLS,49640.33,56.4736405006,7.0,23.1625088033,50613,2780.32,3.16304891923,5.70935153584,7959.26,48.2379393939,11623.02,59.0001015228,11623.02,59.0001015228
1161,4989.0,IOWA CITY,1612.36,84.8610526316,52.0,13.5227568922,52240,161.8,8.51578947368,3.37421052632,321.28,80.32,419.22,69.87,419.22,69.87
1163,4991.0,ELKADER,1762.54,110.15875,22.0,12.5505357143,52043,181.35,11.334375,3.140625,446.08,89.216,1252.08,178.868571429,1252.08,178.868571429
1164,4992.0,DANVILLE,851.34,85.134,29.0,12.8224761905,52623,72.75,7.275,3.065,99.9,33.3,510.4,102.08,510.4,102.08
1165,4993.0,KEOKUK,9309.45,105.789204545,56.0,16.1734902597,52632,659.25,7.49147727273,3.93761363636,2267.28,113.364,2628.1,114.265217391,2628.1,114.265217391
1166,4995.0,HARLAN,4455.28,79.5585714286,83.0,13.5741411565,51537,405.05,7.23303571429,3.5625,1003.14,83.595,811.8,40.59,811.8,40.59
1167,4996.0,DUBUQUE,756.42,126.07,31.0,20.4105555556,52001,42.0,7.0,3.78666666667,157.84,78.92,64.8,64.8,64.8,64.8
1168,4997.0,DES MOINES,21706.63,133.169509202,77.0,15.9871487,50309,1831.45,11.2358895706,4.15570552147,5399.17,131.687073171,6011.06,133.579111111,6011.06,133.579111111
1169,4998.0,LAKE CITY,9881.33,102.930520833,13.0,13.0354265873,51449,888.75,9.2578125,4.36520833333,2333.28,101.446956522,4200.34,102.447317073,4200.34,102.447317073
1170,4999.0,CLARKSVILLE,2373.52,74.1725,12.0,16.709672619,50619,186.39,5.8246875,3.498125,562.27,56.227,860.54,86.054,860.54,86.054
1171,5000.0,NEVADA,1303.56,118.505454545,85.0,12.9287445887,50201,102.6,9.32727272727,3.16818181818,188.88,188.88,727.68,145.536,727.68,145.536
1172,5001.0,INDEPENDENCE,15661.33,58.0049259259,10.0,18.9540740741,50644,1124.52,4.16488888889,4.53648148148,2457.92,43.1214035088,2600.1,37.6826086957,2600.1,37.6826086957
1173,5003.0,DAVENPORT,23966.65,148.861180124,82.0,24.4038598048,52804,1384.59,8.5999378882,5.76658385093,3376.2,96.4628571429,4683.55,111.513095238,4683.55,111.513095238
1174,5004.0,IDA GROVE,14350.01,97.6191156463,47.0,13.1237512148,51445,1290.25,8.77721088435,4.33489795918,3497.01,87.42525,2351.94,138.349411765,2351.94,138.349411765
1175,5005.0,LAURENS,9635.34,69.8213043478,76.0,12.3990269151,50554,986.87,7.15123188406,4.21028985507,3127.37,76.2773170732,2563.8,71.2166666667,2563.8,71.2166666667
1177,5007.0,DENVER,9702.39,103.216914894,9.0,12.9034549139,50622,899.25,9.5664893617,4.34287234043,2068.74,71.335862069,1295.94,76.2317647059,1295.94,76.2317647059
