,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
124,2015,616,Bulloch County,300,Southeast Bulloch Middle School,"9124 Brooklet Denmark Rd,Brooklet,Ga,30415",32.361385,-81.681321,M,78.1,Yes,No,3
125,2015,616,Bulloch County,399,Portal Elementary School,"328 Grady St S,Portal,Ga,30450",32.536132,-81.933601,E,70.0,Yes,No,3
126,2015,616,Bulloch County,2050,Bryant Elementary School,"421 W Main St,Statesboro,Ga,30458",32.452787,-81.797578,E,80.5,Yes,No,3
127,2015,616,Bulloch County,2054,Statesboro High School,"10 Lester Rd,Statesboro,Ga,30458",32.443794,-81.763616,H,73.6,No,No,1
128,2015,616,Bulloch County,3054,Stilson Elementary School,"15569 Ga Highway 119,Brooklet,Ga,30415",32.324895,-81.554953,E,70.4,Yes,No,3
129,2015,616,Bulloch County,4052,Portal Middle/High School,"27245 Us Highway 80 W,Portal,Ga,30450",32.537532,-81.93567,M,70.9,Yes,No,3
130,2015,616,Bulloch County,4052,Portal Middle/High School,"27245 Us Highway 80 W,Portal,Ga,30450",32.537532,-81.93567,H,80.4,Yes,No,3
131,2015,616,Bulloch County,5050,Mattie Lively Elementary School,"204 Debbie Dr,Statesboro,Ga,30458",32.469393,-81.786787,E,60.3,Yes,No,3
132,2015,616,Bulloch County,5054,Sallie Zetterower Elementary School,"1724 Cawana Rd,Statesboro,Ga,30461",32.415671,-81.75356,E,72.5,Yes,No,3
133,2015,617,Burke County,104,Blakeney Elementary,"100 Olympic Dr,Waynesboro,Ga,30830",33.0792,-81.993382,E,68.2,Yes,No,2
134,2015,617,Burke County,188,Burke County Middle School,"356 Southside Dr,Waynesboro,Ga,30830",33.079843,-81.995983,M,67.5,Yes,No,2
135,2015,617,Burke County,196,S G A Elementary School,"1265 Charles Perry Ave,Sardis,Ga,30456",32.980298,-81.770673,E,63.6,Yes,No,2
136,2015,618,Butts County,100,Henderson Middle School,"494 George Tate Dr,Jackson,Ga,30233",33.284295,-83.977816,M,75.0,Yes,No,3
137,2015,618,Butts County,104,Hampton L. Daughtry Elementary School,"150 Shiloh Rd,Jackson,Ga,30233",33.293082,-84.019009,E,65.5,Yes,No,3
138,2015,618,Butts County,108,Stark Elementary School,"209 Stark Rd,Jackson,Ga,30233",33.307998,-83.95297,E,58.1,Yes,No,3
139,2015,619,Calhoun County,113,Calhoun County High School,"Po Box 366,Edison,Ga,39846",31.558227,-84.738253,H,61.7,Yes,No,2
140,2015,619,Calhoun County,179,Calhoun County Elementary School,"18904 Morgan Rd,Arlington,Ga,39813",31.447238,-84.717123,E,48.6,Yes,No,2
141,2015,619,Calhoun County,213,Calhoun County Middle School,"Po Box 366,Edison,Ga,39846",31.558227,-84.738253,M,49.2,Yes,No,2
